"filename", "language", "Dart", "comment", "blank", "total"
"c:\fluuter_pr\house_of_electricity_store\lib\main.dart", "Dart", 29, 0, 4, 33
"c:\fluuter_pr\house_of_electricity_store\lib\src\app_theme.dart", "Dart", 10, 0, 2, 12
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\app\di.dart", "Dart", 175, 7, 9, 191
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\app\initialize_supabase.dart", "Dart", 10, 2, 2, 14
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\app\routing_helper.dart", "Dart", 24, 0, 2, 26
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\app\sort_products_helper.dart", "Dart", 34, 0, 4, 38
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\app\supabase_query_helper.dart", "Dart", 0, 0, 2, 2
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\calculate_pagination.dart", "Dart", 3, 0, 3, 6
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\calculate_products_prices.dart", "Dart", 0, 0, 2, 2
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\consts\database_consts.dart", "Dart", 13, 0, 2, 15
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\error_handler\error_handler.dart", "Dart", 77, 3, 16, 96
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\presentation\app_colors.dart", "Dart", 9, 0, 2, 11
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\presentation\assets_manager.dart", "Dart", 3, 0, 1, 4
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\presentation\dialogs.dart", "Dart", 64, 0, 6, 70
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\presentation\fonts_manager.dart", "Dart", 33, 1, 6, 40
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\presentation\screen_size_helper.dart", "Dart", 9, 0, 3, 12
"c:\fluuter_pr\house_of_electricity_store\lib\src\core\presentation\sizes.dart", "Dart", 27, 0, 3, 30
